Series Name,Series Code,Country Name,Country Code,2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Italy,ITA,445968.0,447749.0,431647.0,382590.0,382897.0,335280.0,328771.58001328,306320.503320053,258027.0,264899.0,273462.0,277671.0,243811.0,251621.0,260599.0,
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Jamaica,JAM,21787.0,21133.0,22401.0,22894.0,16840.0,0.0,0.0,0.0,492.0,953.0,997.0,1128.0,1181.0,1215.272,,
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Japan,JPN,651858.0,670252.0,656917.0,655495.0,641913.0,934487.439462563,812928.0,874677.0,915542.658,927666.0,956015.0,984320.0,1035522.0,999594.0,1018436.0,
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Jordan,JOR,19689.0,26546.0,29415.0,30804.0,32490.0,39318.7915976253,40329.1978021978,39468.0,38998.0,38386.0,36622.0,38161.0,36946.0,36127.0,36550.0,
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Kazakhstan,KAZ,17302.0,19160.0,19138.0,19229.0,18832.0,33483.0,40916.0,44580.0,66108.0,71220.0,72486.0,73188.0,83048.0,66693.0,70980.0,
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Kenya,KEN,28399.0,29039.0,32329.0,32045.0,33593.0,78265.0,84955.0,82576.0,98244.0,90625.0,96749.0,99428.0,117027.0,134354.484622134,138192.0,
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Kiribati,KIR,,,,,,,,,,,,,5005.0,5005.0,4388.0,
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,"Korea, Dem. People's Rep.",PRK,1768.0,1839.0,1949.0,1986.0,1865.0,725.0,732.0,890.0,3576.0,498.340248962656,483.0,522.0,460.0,472.0,526.0,
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,"Korea, Rep.",KOR,221424.0,223735.0,243113.0,250260.0,256160.0,280427.0,282239.0,285000.0,360356.0,368132.0,448037.0,473606.0,499093.92,527807.0,549454.0,
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Kosovo,XKX,,,,,,,,,,,,,,,,
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Kuwait,KWT,19142.0,20673.0,17685.0,17999.0,18191.0,41848.0,31753.0,28814.0,27305.0,26610.0,30073.0,33387.0,42782.0,46450.0,50959.0,
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Kyrgyz Republic,KGZ,5228.0,4730.0,4916.0,3567.0,5459.0,7371.0,9274.0,7719.0,12189.0,17388.0,20962.0,23120.0,27055.0,8751.0,6537.0,
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Lao PDR,LAO,9002.0,9959.0,9957.0,10007.0,9793.0,11374.0,12262.0,15836.1286311187,16944.0,12732.0,9772.0,9986.0,9731.0,16299.0,16359.0,
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Latvia,LVA,23112.0,29067.0,28182.0,28915.0,27123.0,54589.0,54241.0,46732.0,43836.0,42107.0,41376.0,42392.0,47885.0,54356.0,61692.0,
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Lebanon,LBN,12013.0,11274.0,12172.0,12306.0,13532.0,19882.0,21306.0,21880.0,23568.0,23580.0,24066.0,24549.0,25550.0,25740.0,26942.0,
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Lesotho,LSO,,,,,,,,,,,,,,,,
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Liberia,LBR,,,,,,,,,,,,,,,,
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Libya,LBY,13335.0,12657.0,13477.0,9930.0,9812.0,34878.0771737788,27770.5020633663,16514.4315772057,32064.0,26414.0,13298.0,10764.0,9686.0,12340.0,11339.0,
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Liechtenstein,LIE,,,,,,,,,,,,,,,,
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Lithuania,LTU,11930.0,11059.0,10823.0,12238.0,11633.0,4972.63491038269,7122.0,11874.0,9900.0,12622.0,12199.0,9719.0,12151.0,2375.0,2519.0,
